"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"1","0.000000","10.9.14.244","185.15.59.224","TCP","66","62386  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM","","0x002"
"2","0.067622","185.15.59.224","10.9.14.244","TCP","66","443  >  62386 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1380 SACK_PERM WS=512","","0x012"
"3","0.067691","10.9.14.244","185.15.59.224","TCP","54","62386  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0","","0x010"
"4","0.068380","10.9.14.244","185.15.59.224","TCP","1434","62386  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1380 [TCP PDU reassembled in 5]","","0x010"
"5","0.068380","10.9.14.244","185.15.59.224","TLSv1.3","497","Client Hello (SNI=www.wikipedia.org)","www.wikipedia.org","0x018"
"6","0.136401","185.15.59.224","10.9.14.244","TCP","56","443  >  62386 [ACK] Seq=1 Ack=1824 Win=42496 Len=0","","0x010"
"7","0.136401","185.15.59.224","10.9.14.244","TLSv1.3","1434","Server Hello, Change Cipher Spec, Application Data","","0x010"
"8","0.136401","185.15.59.224","10.9.14.244","TCP","1434","443  >  62386 [PSH, ACK] Seq=1381 Ack=1824 Win=42496 Len=1380 [TCP PDU reassembled in 9]","","0x018"
"9","0.136401","185.15.59.224","10.9.14.244","TLSv1.3","1164","Application Data, Application Data, Application Data","","0x018"
"10","0.136480","10.9.14.244","185.15.59.224","TCP","54","62386  >  443 [ACK] Seq=1824 Ack=3871 Win=65280 Len=0","","0x010"
"11","0.140344","10.9.14.244","185.15.59.224","TLSv1.3","118","Change Cipher Spec, Application Data","","0x018"
"12","0.141061","10.9.14.244","185.15.59.224","TLSv1.3","146","Application Data","","0x018"
"13","0.141412","10.9.14.244","185.15.59.224","TLSv1.3","688","Application Data","","0x018"
"14","0.207672","185.15.59.224","10.9.14.244","TLSv1.3","325","Application Data","","0x018"
"15","0.207672","185.15.59.224","10.9.14.244","TLSv1.3","309","Application Data","","0x018"
"16","0.207672","185.15.59.224","10.9.14.244","TLSv1.3","106","Application Data","","0x018"
"17","0.207763","10.9.14.244","185.15.59.224","TCP","54","62386  >  443 [ACK] Seq=2614 Ack=4449 Win=64768 Len=0","","0x010"
"18","0.207947","10.9.14.244","185.15.59.224","TLSv1.3","85","Application Data","","0x018"
"19","0.208404","185.15.59.224","10.9.14.244","TLSv1.3","896","Application Data","","0x018"
"20","0.208448","10.9.14.244","185.15.59.224","TCP","54","62386  >  443 [ACK] Seq=2645 Ack=5291 Win=65280 Len=0","","0x010"
"21","0.292929","10.9.14.244","185.15.59.224","TCP","66","62388  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM","","0x002"
"22","0.321347","185.15.59.224","10.9.14.244","TCP","56","443  >  62386 [ACK] Seq=5291 Ack=2645 Win=42496 Len=0","","0x010"
"23","0.361535","185.15.59.224","10.9.14.244","TCP","66","443  >  62388 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1380 SACK_PERM WS=512","","0x012"
"24","0.361601","10.9.14.244","185.15.59.224","TCP","54","62388  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0","","0x010"
"25","0.362089","10.9.14.244","185.15.59.224","TCP","1434","62388  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1380 [TCP PDU reassembled in 26]","","0x010"
"26","0.362089","10.9.14.244","185.15.59.224","TLSv1.3","496","Client Hello (SNI=en.wikipedia.org)","en.wikipedia.org","0x018"
"27","0.430241","185.15.59.224","10.9.14.244","TCP","56","443  >  62388 [ACK] Seq=1 Ack=1823 Win=41472 Len=0","","0x010"
"28","0.430241","185.15.59.224","10.9.14.244","TLSv1.3","1434","Server Hello, Change Cipher Spec, Application Data","","0x010"
"29","0.430241","185.15.59.224","10.9.14.244","TCP","1434","443  >  62388 [PSH, ACK] Seq=1381 Ack=1823 Win=42496 Len=1380 [TCP PDU reassembled in 30]","","0x018"
"30","0.430241","185.15.59.224","10.9.14.244","TLSv1.3","1165","Application Data, Application Data, Application Data","","0x018"
"31","0.430301","10.9.14.244","185.15.59.224","TCP","54","62388  >  443 [ACK] Seq=1823 Ack=3872 Win=65280 Len=0","","0x010"
"32","0.433207","10.9.14.244","185.15.59.224","TLSv1.3","118","Change Cipher Spec, Application Data","","0x018"
"33","0.500806","185.15.59.224","10.9.14.244","TLSv1.3","309","Application Data","","0x018"
"34","0.500806","185.15.59.224","10.9.14.244","TLSv1.3","309","Application Data","","0x018"
"35","0.500856","10.9.14.244","185.15.59.224","TCP","54","62388  >  443 [ACK] Seq=1887 Ack=4382 Win=65024 Len=0","","0x010"
"36","1.772331","10.9.14.244","185.15.59.224","TLSv1.3","377","Application Data","","0x018"
"37","1.840367","185.15.59.224","10.9.14.244","TCP","56","443  >  62386 [ACK] Seq=5291 Ack=2968 Win=42496 Len=0","","0x010"
"38","1.951572","10.9.14.244","185.15.59.224","TLSv1.3","290","Application Data","","0x018"
"39","1.995679","185.15.59.224","10.9.14.244","TCP","1434","443  >  62386 [ACK] Seq=5291 Ack=2968 Win=42496 Len=1380 [TCP PDU reassembled in 40]","","0x010"
"40","1.995679","185.15.59.224","10.9.14.244","TLSv1.3","286","Application Data","","0x018"
"41","1.995736","10.9.14.244","185.15.59.224","TCP","54","62386  >  443 [ACK] Seq=3204 Ack=6903 Win=65280 Len=0","","0x010"
"42","2.019024","185.15.59.224","10.9.14.244","TCP","56","443  >  62386 [ACK] Seq=6903 Ack=3204 Win=42496 Len=0","","0x010"
"43","2.123944","10.9.14.244","185.15.59.224","TLSv1.3","291","Application Data","","0x018"
"44","2.176883","185.15.59.224","10.9.14.244","TCP","1434","443  >  62386 [ACK] Seq=6903 Ack=3204 Win=42496 Len=1380 [TCP PDU reassembled in 45]","","0x010"
"45","2.176883","185.15.59.224","10.9.14.244","TLSv1.3","312","Application Data","","0x018"
"46","2.177054","10.9.14.244","185.15.59.224","TCP","54","62386  >  443 [ACK] Seq=3441 Ack=8541 Win=65280 Len=0","","0x010"
"47","2.191456","185.15.59.224","10.9.14.244","TCP","56","443  >  62386 [ACK] Seq=8541 Ack=3441 Win=42496 Len=0","","0x010"
"48","2.254713","10.9.14.244","185.15.59.224","TLSv1.3","292","Application Data","","0x018"
"49","2.322606","185.15.59.224","10.9.14.244","TCP","56","443  >  62386 [ACK] Seq=8541 Ack=3679 Win=42496 Len=0","","0x010"
"50","2.340937","185.15.59.224","10.9.14.244","TCP","1434","443  >  62386 [ACK] Seq=8541 Ack=3679 Win=42496 Len=1380 [TCP PDU reassembled in 51]","","0x010"
"51","2.340937","185.15.59.224","10.9.14.244","TLSv1.3","248","Application Data","","0x018"
"52","2.341056","10.9.14.244","185.15.59.224","TCP","54","62386  >  443 [ACK] Seq=3679 Ack=10115 Win=65280 Len=0","","0x010"
"53","2.341851","185.15.59.224","10.9.14.244","TLSv1.3","85","Application Data","","0x018"
"54","2.387199","10.9.14.244","185.15.59.224","TCP","54","62386  >  443 [ACK] Seq=3679 Ack=10146 Win=65280 Len=0","","0x010"
"55","2.435535","10.9.14.244","185.15.59.224","TLSv1.3","292","Application Data","","0x018"
"56","2.447917","10.9.14.244","185.15.59.224","TLSv1.3","187","Application Data","","0x018"
"57","2.480371","185.15.59.224","10.9.14.244","TCP","1434","443  >  62386 [ACK] Seq=10146 Ack=3679 Win=42496 Len=1380 [TCP PDU reassembled in 58]","","0x010"
"58","2.480371","185.15.59.224","10.9.14.244","TLSv1.3","261","Application Data","","0x018"
"59","2.480444","10.9.14.244","185.15.59.224","TCP","54","62386  >  443 [ACK] Seq=4050 Ack=11733 Win=65280 Len=0","","0x010"
"60","2.515038","185.15.59.224","10.9.14.244","TCP","56","443  >  62386 [ACK] Seq=11733 Ack=4050 Win=42496 Len=0","","0x010"
"61","2.603299","185.15.59.224","10.9.14.244","TLSv1.3","770","Application Data","","0x018"
"62","2.607442","10.9.14.244","185.15.59.224","TLSv1.3","142","Application Data","","0x018"
"63","2.660220","185.15.59.224","10.9.14.244","TCP","1434","443  >  62386 [ACK] Seq=12449 Ack=4050 Win=42496 Len=1380 [TCP PDU reassembled in 64]","","0x010"
"64","2.660220","185.15.59.224","10.9.14.244","TLSv1.3","153","Application Data","","0x018"
"65","2.660317","10.9.14.244","185.15.59.224","TCP","54","62386  >  443 [ACK] Seq=4138 Ack=13829 Win=65280 Len=0","","0x010"
"66","2.660422","10.9.14.244","185.15.59.224","TCP","54","62386  >  443 [ACK] Seq=4138 Ack=13928 Win=65280 Len=0","","0x010"
