"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"1","0.000000","10.100.102.162","185.15.59.224","TCP","66","58383  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM","","0x002"
"2","0.073654","185.15.59.224","10.100.102.162","TCP","66","443  >  58383 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1440 SACK_PERM WS=512","","0x012"
"3","0.073720","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0","","0x010"
"4","0.074301","10.100.102.162","185.15.59.224","TCP","1494","58383  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1440 [TCP PDU reassembled in 5]","","0x010"
"5","0.074301","10.100.102.162","185.15.59.224","TLSv1.3","340","Client Hello (SNI=he.wikipedia.org)","he.wikipedia.org","0x018"
"6","0.143863","185.15.59.224","10.100.102.162","TCP","60","443  >  58383 [ACK] Seq=1 Ack=1727 Win=41472 Len=0","","0x010"
"7","0.143863","185.15.59.224","10.100.102.162","TLSv1.3","1506","Server Hello, Change Cipher Spec, Application Data","","0x010"
"8","0.144262","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=1453 Ack=1727 Win=42496 Len=1452 [TCP PDU reassembled in 10]","","0x018"
"9","0.144309","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=1727 Ack=2905 Win=65280 Len=0","","0x010"
"10","0.144668","185.15.59.224","10.100.102.162","TLSv1.3","1021","Application Data, Application Data, Application Data","","0x018"
"11","0.147649","10.100.102.162","185.15.59.224","TLSv1.3","118","Change Cipher Spec, Application Data","","0x018"
"12","0.147813","10.100.102.162","185.15.59.224","TLSv1.3","146","Application Data","","0x018"
"13","0.147944","10.100.102.162","185.15.59.224","TLSv1.3","666","Application Data","","0x018"
"14","0.217418","185.15.59.224","10.100.102.162","TLSv1.3","309","Application Data","","0x018"
"15","0.217418","185.15.59.224","10.100.102.162","TLSv1.3","309","Application Data","","0x018"
"16","0.217418","185.15.59.224","10.100.102.162","TLSv1.3","106","Application Data","","0x018"
"17","0.217472","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=2495 Ack=4434 Win=65280 Len=0","","0x010"
"18","0.217669","10.100.102.162","185.15.59.224","TLSv1.3","85","Application Data","","0x018"
