"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"1","0.000000","10.9.14.244","216.58.204.234","TCP","55","62839  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1","","0x010"
"2","0.053524","216.58.204.234","10.9.14.244","TCP","66","443  >  62839 [ACK] Seq=1 Ack=2 Win=1047 Len=0 SLE=1 SRE=2","","0x010"
"3","0.190271","10.9.14.244","35.186.224.24","TCP","55","62832  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 337]","","0x010"
"4","0.243935","35.186.224.24","10.9.14.244","TCP","66","443  >  62832 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2","","0x010"
"5","0.300280","10.9.14.244","172.64.155.209","TCP","55","62733  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1","","0x010"
"6","0.346605","172.64.155.209","10.9.14.244","TCP","66","443  >  62733 [ACK] Seq=1 Ack=2 Win=54 Len=0 SLE=1 SRE=2","","0x010"
"7","0.911529","104.208.16.90","10.9.14.244","TCP","56","443  >  62741 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","0x014"
"8","0.919396","10.9.14.244","104.18.87.42","TCP","55","62845  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1","","0x010"
"9","0.951282","10.9.14.244","142.251.209.40","TCP","55","62847  >  443 [ACK] Seq=1 Ack=1 Win=1023 Len=1","","0x010"
"10","0.965052","104.18.87.42","10.9.14.244","TCP","66","443  >  62845 [ACK] Seq=1 Ack=2 Win=10 Len=0 SLE=1 SRE=2","","0x010"
"11","1.005970","142.251.209.40","10.9.14.244","TCP","66","443  >  62847 [ACK] Seq=1 Ack=2 Win=1050 Len=0 SLE=1 SRE=2","","0x010"
"12","1.190407","10.9.14.244","216.239.34.178","TCP","55","62858  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1","","0x010"
"13","1.244468","216.239.34.178","10.9.14.244","TCP","66","443  >  62858 [ACK] Seq=1 Ack=2 Win=1042 Len=0 SLE=1 SRE=2","","0x010"
"14","1.640096","10.9.14.244","35.186.224.24","QUIC","1292","Initial, DCID=941aea947bedda41, PKN: 1, CRYPTO, PING, PADDING, PING, PING, PADDING, PING, CRYPTO, CRYPTO, PING, CRYPTO, PING, PING, CRYPTO","",""
"15","1.640231","10.9.14.244","35.186.224.24","QUIC","1292","Initial, DCID=941aea947bedda41, PKN: 2, PADDING, PING, PADDING, PING, PADDING, PING, PING, CRYPTO, PADDING, PING, PING, CRYPTO, PING, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO","www.spotify.com",""
"16","1.640816","10.9.14.244","35.186.224.24","TLSv1.2","1221","Application Data","","0x018"
"17","1.640915","10.9.14.244","35.186.224.24","TLSv1.2","93","Application Data","","0x018"
"18","1.694681","35.186.224.24","10.9.14.244","QUIC","82","Initial, SCID=f41aea947bedda41, PKN: 1, ACK","",""
"19","1.694681","35.186.224.24","10.9.14.244","TCP","56","443  >  62857 [ACK] Seq=1 Ack=1168 Win=1034 Len=0","","0x010"
"20","1.694681","35.186.224.24","10.9.14.244","TCP","56","443  >  62857 [ACK] Seq=1 Ack=1207 Win=1034 Len=0","","0x010"
"21","1.694681","35.186.224.24","10.9.14.244","QUIC","1292","Initial, SCID=f41aea947bedda41, PKN: 2, ACK, PADDING","",""
"22","1.694681","35.186.224.24","10.9.14.244","TLSv1.2","93","Application Data","","0x018"
"23","1.716743","35.186.224.24","10.9.14.244","QUIC","1292","Protected Payload (KP0)","",""
"24","1.718215","10.9.14.244","35.186.224.24","QUIC","1292","Protected Payload (KP0), DCID=f41aea947bedda41","",""
"25","1.745158","10.9.14.244","35.186.224.24","TCP","54","62857  >  443 [ACK] Seq=1207 Ack=40 Win=251 Len=0","","0x010"
"26","1.751793","35.186.224.24","10.9.14.244","TLSv1.2","148","Application Data","","0x018"
"27","1.751793","35.186.224.24","10.9.14.244","TLSv1.2","1089","Application Data","","0x018"
"28","1.751868","10.9.14.244","35.186.224.24","TCP","54","62857  >  443 [ACK] Seq=1207 Ack=1169 Win=255 Len=0","","0x010"
"29","1.752413","10.9.14.244","35.186.224.24","TLSv1.2","89","Application Data","","0x018"
"30","1.752561","35.186.224.24","10.9.14.244","TLSv1.2","981","Application Data","","0x018"
"31","1.754150","35.186.224.24","10.9.14.244","TLSv1.2","93","Application Data","","0x018"
"32","1.754244","10.9.14.244","35.186.224.24","TCP","54","62857  >  443 [ACK] Seq=1242 Ack=2135 Win=252 Len=0","","0x010"
"33","1.754381","10.9.14.244","35.186.224.24","TLSv1.2","93","Application Data","","0x018"
"34","1.772400","35.186.224.24","10.9.14.244","QUIC","626","Protected Payload (KP0)","",""
"35","1.772400","35.186.224.24","10.9.14.244","QUIC","163","Protected Payload (KP0)","",""
"36","1.773051","10.9.14.244","35.186.224.24","QUIC","73","Protected Payload (KP0), DCID=f41aea947bedda41","",""
"37","1.777539","10.9.14.244","216.58.205.35","TCP","55","62867  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 98]","","0x010"
"38","1.796720","35.186.224.24","10.9.14.244","QUIC","66","Protected Payload (KP0)","",""
"39","1.813914","10.9.14.244","108.177.119.156","TCP","55","62866  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1","","0x010"
"40","1.816003","35.186.224.24","10.9.14.244","TCP","56","443  >  62857 [ACK] Seq=2135 Ack=1281 Win=1034 Len=0","","0x010"
"41","1.830728","216.58.205.35","10.9.14.244","TCP","66","443  >  62867 [ACK] Seq=1 Ack=2 Win=1043 Len=0 SLE=1 SRE=2","","0x010"
"42","1.883853","108.177.119.156","10.9.14.244","TCP","66","443  >  62866 [ACK] Seq=1 Ack=2 Win=1046 Len=0 SLE=1 SRE=2","","0x010"
"43","1.950500","10.9.14.244","35.186.224.24","TCP","55","62830  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 532]","","0x010"
"44","2.004054","35.186.224.24","10.9.14.244","TCP","66","443  >  62830 [ACK] Seq=1 Ack=2 Win=1046 Len=0 SLE=1 SRE=2","","0x010"
"45","2.094300","10.9.14.244","8.8.4.4","TCP","66","62973  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM","","0x002"
"46","2.147933","8.8.4.4","10.9.14.244","TCP","66","443  >  62973 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1380 SACK_PERM WS=2048","","0x012"
"47","2.147991","10.9.14.244","8.8.4.4","TCP","54","62973  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0","","0x010"
"48","2.148434","10.9.14.244","8.8.4.4","TCP","1434","62973  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1380 [TCP PDU reassembled in 49]","","0x010"
"49","2.148434","10.9.14.244","8.8.4.4","TLSv1.3","394","Client Hello (SNI=dns.google)","dns.google","0x018"
"50","2.202113","8.8.4.4","10.9.14.244","TCP","56","443  >  62973 [ACK] Seq=1 Ack=1381 Win=65536 Len=0","","0x010"
"51","2.202113","8.8.4.4","10.9.14.244","TCP","56","443  >  62973 [ACK] Seq=1 Ack=1721 Win=65536 Len=0","","0x010"
"52","2.202113","8.8.4.4","10.9.14.244","TLSv1.3","1434","Server Hello, Change Cipher Spec, Application Data","","0x010"
"53","2.202113","8.8.4.4","10.9.14.244","TCP","1434","443  >  62973 [PSH, ACK] Seq=1381 Ack=1721 Win=65536 Len=1380 [TCP PDU reassembled in 57]","","0x018"
"54","2.202113","8.8.4.4","10.9.14.244","TCP","1390","443  >  62973 [PSH, ACK] Seq=2761 Ack=1721 Win=65536 Len=1336 [TCP PDU reassembled in 57]","","0x018"
"55","2.202113","8.8.4.4","10.9.14.244","TCP","1434","443  >  62973 [ACK] Seq=4097 Ack=1721 Win=65536 Len=1380 [TCP PDU reassembled in 57]","","0x010"
"56","2.202113","8.8.4.4","10.9.14.244","TCP","1434","443  >  62973 [PSH, ACK] Seq=5477 Ack=1721 Win=65536 Len=1380 [TCP PDU reassembled in 57]","","0x018"
"57","2.202113","8.8.4.4","10.9.14.244","TLSv1.3","917","Application Data, Application Data, Application Data","","0x018"
"58","2.202171","10.9.14.244","8.8.4.4","TCP","54","62973  >  443 [ACK] Seq=1721 Ack=7720 Win=65280 Len=0","","0x010"
"59","2.207349","10.9.14.244","8.8.4.4","TLSv1.3","84","Change Cipher Spec, Application Data","","0x018"
"60","2.207664","10.9.14.244","8.8.4.4","TCP","54","62973  >  443 [FIN, ACK] Seq=1751 Ack=7720 Win=65280 Len=0","","0x011"
"61","2.260613","8.8.4.4","10.9.14.244","TCP","56","443  >  62973 [FIN, ACK] Seq=7720 Ack=1751 Win=65536 Len=0","","0x011"
"62","2.260613","8.8.4.4","10.9.14.244","TCP","56","443  >  62973 [ACK] Seq=7721 Ack=1752 Win=65536 Len=0","","0x010"
"63","2.529683","8.8.4.4","10.9.14.244","TCP","56","[TCP Retransmission] 443  >  62973 [FIN, ACK] Seq=7720 Ack=1752 Win=65536 Len=0","","0x011"
