"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"1","0.000000","52.182.143.212","10.9.14.244","TCP","74","443  >  62464 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1380 WS=256 SACK_PERM TSval=723277212 TSecr=145623406","","0x012"
"2","0.000073","10.9.14.244","52.182.143.212","TCP","66","62464  >  443 [ACK] Seq=1 Ack=1 Win=10 Len=0 TSval=145623581 TSecr=723277212","","0x010"
"3","0.000877","10.9.14.244","52.182.143.212","TLSv1.2","281","Client Hello (SNI=watson.events.data.microsoft.com)","watson.events.data.microsoft.com","0x018"
"4","0.182572","52.182.143.212","10.9.14.244","TCP","1434","443  >  62464 [ACK] Seq=1 Ack=216 Win=4195328 Len=1368 TSval=723277394 TSecr=145623582 [TCP PDU reassembled in 8]","","0x010"
"5","0.229802","10.9.14.244","52.182.143.212","TCP","66","62464  >  443 [ACK] Seq=216 Ack=1369 Win=16 Len=0 TSval=145623811 TSecr=723277394","","0x010"
"6","0.404766","52.182.143.212","10.9.14.244","TCP","1434","443  >  62464 [ACK] Seq=1369 Ack=216 Win=4195328 Len=1368 TSval=723277617 TSecr=145623811 [TCP PDU reassembled in 8]","","0x010"
"7","0.404766","52.182.143.212","10.9.14.244","TCP","1434","443  >  62464 [ACK] Seq=2737 Ack=216 Win=4195328 Len=1368 TSval=723277617 TSecr=145623811 [TCP PDU reassembled in 8]","","0x010"
"8","0.404766","52.182.143.212","10.9.14.244","TLSv1.2","488","Server Hello, Certificate, Server Key Exchange, Server Hello Done","","0x018"
"9","0.404889","10.9.14.244","52.182.143.212","TCP","66","62464  >  443 [ACK] Seq=216 Ack=4527 Win=28 Len=0 TSval=145623986 TSecr=723277617","","0x010"
"10","0.412612","10.9.14.244","52.182.143.212","TLSv1.2","224","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message","","0x018"
"11","0.588686","52.182.143.212","10.9.14.244","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message","","0x018"
"12","0.588686","52.182.143.212","10.9.14.244","TLSv1.2","135","Application Data","","0x018"
"13","0.588719","10.9.14.244","52.182.143.212","TCP","66","62464  >  443 [ACK] Seq=374 Ack=4647 Win=28 Len=0 TSval=145624170 TSecr=723277801","","0x010"
"14","0.596993","10.9.14.244","52.182.143.212","TLSv1.2","153","Application Data","","0x018"
"15","0.597347","10.9.14.244","52.182.143.212","TLSv1.2","1170","Application Data","","0x018"
"16","0.600379","10.9.14.244","52.182.143.212","TLSv1.2","104","Application Data","","0x018"
"17","0.600839","10.9.14.244","52.182.143.212","TCP","1434","62464  >  443 [ACK] Seq=1603 Ack=4647 Win=28 Len=1368 TSval=145624182 TSecr=723277801 [TCP PDU reassembled in 25]","","0x010"
"18","0.774013","52.182.143.212","10.9.14.244","TLSv1.2","104","Application Data","","0x018"
"19","0.774053","10.9.14.244","52.182.143.212","TCP","66","62464  >  443 [ACK] Seq=2971 Ack=4685 Win=29 Len=0 TSval=145624355 TSecr=723277986","","0x010"
"20","0.774684","52.182.143.212","10.9.14.244","TCP","66","443  >  62464 [ACK] Seq=4685 Ack=1565 Win=4195584 Len=0 TSval=723277987 TSecr=145624179","","0x010"
"21","0.774684","52.182.143.212","10.9.14.244","TCP","66","443  >  62464 [ACK] Seq=4685 Ack=1603 Win=4195584 Len=0 TSval=723277987 TSecr=145624182","","0x010"
"22","0.774684","52.182.143.212","10.9.14.244","TCP","66","443  >  62464 [ACK] Seq=4685 Ack=2971 Win=4195584 Len=0 TSval=723277987 TSecr=145624182","","0x010"
"23","0.774711","10.9.14.244","52.182.143.212","TCP","1434","62464  >  443 [ACK] Seq=2971 Ack=4685 Win=29 Len=1368 TSval=145624356 TSecr=723277987 [TCP PDU reassembled in 25]","","0x010"
"24","0.774711","10.9.14.244","52.182.143.212","TCP","1434","62464  >  443 [ACK] Seq=4339 Ack=4685 Win=29 Len=1368 TSval=145624356 TSecr=723277987 [TCP PDU reassembled in 25]","","0x010"
"25","0.774711","10.9.14.244","52.182.143.212","TLSv1.2","1434","Application Data","","0x018"
"26","0.950009","52.182.143.212","10.9.14.244","TCP","66","443  >  62464 [ACK] Seq=4685 Ack=5707 Win=4195584 Len=0 TSval=723278162 TSecr=145624356","","0x010"
"27","0.950065","10.9.14.244","52.182.143.212","TLSv1.2","930","Application Data","","0x018"
"28","1.002954","52.182.143.212","10.9.14.244","TCP","66","443  >  62464 [ACK] Seq=4685 Ack=7075 Win=4195584 Len=0 TSval=723278215 TSecr=145624356","","0x010"
"29","1.126558","52.182.143.212","10.9.14.244","TLSv1.2","245","Application Data","","0x018"
"30","1.127788","10.9.14.244","52.182.143.212","TCP","66","62464  >  443 [FIN, ACK] Seq=7939 Ack=4864 Win=29 Len=0 TSval=145624709 TSecr=723278337","","0x011"
"31","1.284239","10.9.14.244","52.182.143.212","TCP","74","62465  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM TSval=145624866 TSecr=0","","0x002"
"32","1.302976","52.182.143.212","10.9.14.244","TCP","66","443  >  62464 [FIN, ACK] Seq=4864 Ack=7940 Win=4194560 Len=0 TSval=723278514 TSecr=145624709","","0x011"
"33","1.303072","10.9.14.244","52.182.143.212","TCP","66","62464  >  443 [ACK] Seq=7940 Ack=4865 Win=29 Len=0 TSval=145624884 TSecr=723278514","","0x010"
"34","1.473854","52.182.143.212","10.9.14.244","TCP","74","443  >  62465 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1380 WS=256 SACK_PERM TSval=722118997 TSecr=145624866","","0x012"
"35","1.473937","10.9.14.244","52.182.143.212","TCP","66","62465  >  443 [ACK] Seq=1 Ack=1 Win=2560 Len=0 TSval=145625055 TSecr=722118997","","0x010"
"36","1.476087","10.9.14.244","52.182.143.212","TLSv1.2","281","Client Hello (SNI=watson.events.data.microsoft.com)","watson.events.data.microsoft.com","0x018"
"37","1.664523","52.182.143.212","10.9.14.244","TCP","1434","443  >  62465 [ACK] Seq=1 Ack=216 Win=4195328 Len=1368 TSval=722119188 TSecr=145625057 [TCP PDU reassembled in 41]","","0x010"
"38","1.706417","10.9.14.244","52.182.143.212","TCP","66","62465  >  443 [ACK] Seq=216 Ack=1369 Win=4096 Len=0 TSval=145625288 TSecr=722119188","","0x010"
"39","1.893219","52.182.143.212","10.9.14.244","TCP","1434","443  >  62465 [ACK] Seq=1369 Ack=216 Win=4195328 Len=1368 TSval=722119419 TSecr=145625288 [TCP PDU reassembled in 41]","","0x010"
"40","1.893219","52.182.143.212","10.9.14.244","TCP","1434","443  >  62465 [ACK] Seq=2737 Ack=216 Win=4195328 Len=1368 TSval=722119419 TSecr=145625288 [TCP PDU reassembled in 41]","","0x010"
"41","1.893219","52.182.143.212","10.9.14.244","TLSv1.2","488","Server Hello, Certificate, Server Key Exchange, Server Hello Done","","0x018"
"42","1.893335","10.9.14.244","52.182.143.212","TCP","66","62465  >  443 [ACK] Seq=216 Ack=4527 Win=7168 Len=0 TSval=145625475 TSecr=722119419","","0x010"
"43","1.896413","10.9.14.244","52.182.143.212","TLSv1.2","224","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message","","0x018"
"44","2.087485","52.182.143.212","10.9.14.244","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message","","0x018"
"45","2.087485","52.182.143.212","10.9.14.244","TLSv1.2","135","Application Data","","0x018"
"46","2.087563","10.9.14.244","52.182.143.212","TCP","66","62465  >  443 [ACK] Seq=374 Ack=4647 Win=7168 Len=0 TSval=145625669 TSecr=722119612","","0x010"
"47","2.090371","10.9.14.244","52.182.143.212","TLSv1.2","153","Application Data","","0x018"
"48","2.090494","10.9.14.244","52.182.143.212","TLSv1.2","1170","Application Data","","0x018"
"49","2.090603","10.9.14.244","52.182.143.212","TLSv1.2","104","Application Data","","0x018"
"50","2.093209","10.9.14.244","52.182.143.212","TCP","1434","62465  >  443 [ACK] Seq=1603 Ack=4647 Win=7168 Len=1368 TSval=145625675 TSecr=722119612 [TCP PDU reassembled in 73]","","0x010"
"51","2.108522","10.9.14.244","142.250.180.163","TCP","66","62466  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM","","0x002"
"52","2.161890","142.250.180.163","10.9.14.244","TCP","66","443  >  62466 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1380 SACK_PERM WS=256","","0x012"
"53","2.161985","10.9.14.244","142.250.180.163","TCP","54","62466  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0","","0x010"
"54","2.162968","10.9.14.244","142.250.180.163","TCP","1434","62466  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1380 [TCP PDU reassembled in 55]","","0x010"
"55","2.162968","10.9.14.244","142.250.180.163","TLSv1.3","445","Client Hello (SNI=clientservices.googleapis.com)","clientservices.googleapis.com","0x018"
"56","2.217364","142.250.180.163","10.9.14.244","TCP","56","443  >  62466 [ACK] Seq=1 Ack=1381 Win=268544 Len=0","","0x010"
"57","2.217364","142.250.180.163","10.9.14.244","TCP","56","443  >  62466 [ACK] Seq=1 Ack=1772 Win=268288 Len=0","","0x010"
"58","2.233320","142.250.180.163","10.9.14.244","TLSv1.3","1434","Server Hello, Change Cipher Spec","","0x010"
