"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"1","0.000000","10.100.102.162","142.250.75.35","TCP","66","58343  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM","","0x002"
"2","0.050060","142.250.75.35","10.100.102.162","TCP","66","443  >  58343 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256","","0x012"
"3","0.050591","10.100.102.162","142.250.75.35","TCP","54","58343  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0","","0x010"
"4","0.051462","10.100.102.162","142.250.75.35","TCP","1466","58343  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1412 [TCP PDU reassembled in 5]","","0x010"
"5","0.051462","10.100.102.162","142.250.75.35","TLSv1.3","477","Client Hello (SNI=clientservices.googleapis.com)","clientservices.googleapis.com","0x018"
"6","0.100641","142.250.75.35","10.100.102.162","TCP","66","[TCP Dup ACK 2#1] 443  >  58343 [ACK] Seq=1 Ack=1 Win=269824 Len=0 SLE=1413 SRE=1836","","0x010"
"7","0.100641","142.250.75.35","10.100.102.162","TCP","60","443  >  58343 [ACK] Seq=1 Ack=1836 Win=268032 Len=0","","0x010"
"8","0.153617","142.250.75.35","10.100.102.162","TLSv1.3","1466","Server Hello, Change Cipher Spec","","0x010"
"9","0.153617","142.250.75.35","10.100.102.162","TCP","1466","443  >  58343 [PSH, ACK] Seq=1413 Ack=1836 Win=268032 Len=1412 [TCP PDU reassembled in 13]","","0x018"
"10","0.153617","142.250.75.35","10.100.102.162","TCP","1466","443  >  58343 [ACK] Seq=2825 Ack=1836 Win=268032 Len=1412 [TCP PDU reassembled in 13]","","0x010"
"11","0.153691","10.100.102.162","142.250.75.35","TCP","54","58343  >  443 [ACK] Seq=1836 Ack=4237 Win=65280 Len=0","","0x010"
"12","0.154076","142.250.75.35","10.100.102.162","TCP","1466","443  >  58343 [PSH, ACK] Seq=4237 Ack=1836 Win=268032 Len=1412 [TCP PDU reassembled in 13]","","0x018"
"13","0.154076","142.250.75.35","10.100.102.162","TLSv1.3","165","Application Data","","0x018"
"14","0.154129","10.100.102.162","142.250.75.35","TCP","54","58343  >  443 [ACK] Seq=1836 Ack=5760 Win=65280 Len=0","","0x010"
"15","0.158236","10.100.102.162","142.250.75.35","TLSv1.3","128","Change Cipher Spec, Application Data","","0x018"
"16","0.158661","10.100.102.162","142.250.75.35","TLSv1.3","146","Application Data","","0x018"
"17","0.158969","10.100.102.162","142.250.75.35","TLSv1.3","402","Application Data","","0x018"
"18","0.185464","10.100.102.162","142.250.75.100","QUIC","1292","Initial, DCID=6d57aebe8bd4c3f4, PKN: 1, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING","",""
"19","0.185521","10.100.102.162","142.250.75.100","QUIC","1292","Initial, DCID=6d57aebe8bd4c3f4, PKN: 2, CRYPTO, CRYPTO, PING, CRYPTO, PING, PING, CRYPTO, PING, CRYPTO, PADDING, PING, PING, CRYPTO, CRYPTO, PING, PADDING, PING, PING, CRYPTO, CRYPTO, PADDING","www.google.com",""
"20","0.207238","142.250.75.35","10.100.102.162","TCP","56","443  >  58343 [ACK] Seq=5760 Ack=1910 Win=268032 Len=0","","0x010"
"21","0.207238","142.250.75.35","10.100.102.162","TCP","56","443  >  58343 [ACK] Seq=5760 Ack=2002 Win=268032 Len=0","","0x010"
"22","0.207238","142.250.75.35","10.100.102.162","TCP","56","443  >  58343 [ACK] Seq=5760 Ack=2350 Win=267776 Len=0","","0x010"
"23","0.207601","142.250.75.35","10.100.102.162","TLSv1.3","1042","Application Data, Application Data","","0x018"
"24","0.207601","142.250.75.35","10.100.102.162","TLSv1.3","85","Application Data","","0x018"
"25","0.207659","10.100.102.162","142.250.75.35","TCP","54","58343  >  443 [ACK] Seq=2350 Ack=6779 Win=64512 Len=0","","0x010"
"26","0.207885","10.100.102.162","142.250.75.35","TLSv1.3","85","Application Data","","0x018"
