"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"1","0.000000","10.9.14.244","206.247.43.169","UDP","291","63406  >  8801 Len=249","",""
"2","0.011071","206.247.43.169","10.9.14.244","UDP","767","8801  >  63404 Len=725","",""
"3","0.011335","10.9.14.244","206.247.43.169","UDP","144","63404  >  8801 Len=102","",""
"4","0.024633","10.9.14.244","206.247.43.169","UDP","288","63404  >  8801 Len=246","",""
"5","0.024672","10.9.14.244","206.247.43.169","UDP","292","63406  >  8801 Len=250","",""
"6","0.045016","10.9.14.244","206.247.43.169","UDP","278","63406  >  8801 Len=236","",""
"7","0.046336","206.247.43.169","10.9.14.244","UDP","461","8801  >  63404 Len=419","",""
"8","0.066482","10.9.14.244","206.247.43.169","UDP","276","63406  >  8801 Len=234","",""
"9","0.080861","10.9.14.244","206.247.43.169","UDP","275","63406  >  8801 Len=233","",""
"10","0.087239","206.247.43.169","10.9.14.244","UDP","461","8801  >  63404 Len=419","",""
"11","0.105393","10.9.14.244","206.247.43.169","UDP","281","63406  >  8801 Len=239","",""
"12","0.124663","10.9.14.244","206.247.43.169","UDP","296","63406  >  8801 Len=254","",""
"13","0.131667","170.114.52.22","10.9.14.244","TCP","56","443  >  63047 [ACK] Seq=1 Ack=1 Win=10 Len=0","","0x010"
"14","0.131697","10.9.14.244","170.114.52.22","TCP","54","[TCP ACKed unseen segment] 63047  >  443 [ACK] Seq=1 Ack=2 Win=255 Len=0","","0x010"
"15","0.138435","206.247.43.169","10.9.14.244","UDP","1018","8801  >  63404 Len=976","",""
"16","0.145420","10.9.14.244","206.247.43.169","UDP","312","63406  >  8801 Len=270","",""
"17","0.159429","206.247.43.169","10.9.14.244","UDP","1187","8801  >  63404 Len=1145","",""
"18","0.159638","10.9.14.244","206.247.43.169","TLSv1.2","92","Application Data","","0x018"
"19","0.160307","10.9.14.244","206.247.43.169","UDP","327","63406  >  8801 Len=285","",""
"20","0.181798","206.247.43.169","10.9.14.244","UDP","186","8801  >  63404 Len=144","",""
"21","0.186964","10.9.14.244","206.247.43.169","UDP","336","63406  >  8801 Len=294","",""
"22","0.190103","206.247.43.169","10.9.14.244","UDP","1180","8801  >  63404 Len=1138","",""
"23","0.190103","206.247.43.169","10.9.14.244","UDP","1179","8801  >  63404 Len=1137","",""
"24","0.201096","206.247.43.169","10.9.14.244","UDP","1179","8801  >  63404 Len=1137","",""
"25","0.201096","206.247.43.169","10.9.14.244","UDP","1179","8801  >  63404 Len=1137","",""
"26","0.205398","10.9.14.244","206.247.43.169","UDP","332","63406  >  8801 Len=290","",""
"27","0.225351","10.9.14.244","206.247.43.169","UDP","320","63406  >  8801 Len=278","",""
"28","0.225447","10.9.14.244","206.247.43.169","UDP","344","63404  >  8801 Len=302","",""
"29","0.240462","10.9.14.244","206.247.43.169","UDP","309","63406  >  8801 Len=267","",""
"30","0.242548","206.247.43.169","10.9.14.244","UDP","1179","8801  >  63404 Len=1137","",""
"31","0.242548","206.247.43.169","10.9.14.244","UDP","1179","8801  >  63404 Len=1137","",""
"32","0.245713","10.9.13.42","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 ","",""
"33","0.252174","206.247.43.169","10.9.14.244","UDP","1179","8801  >  63404 Len=1137","",""
"34","0.252174","206.247.43.169","10.9.14.244","UDP","985","8801  >  63404 Len=943","",""
"35","0.265854","10.9.14.244","206.247.43.169","UDP","106","63406  >  8801 Len=64","",""
"36","0.265895","10.9.14.244","206.247.43.169","UDP","303","63406  >  8801 Len=261","",""
"37","0.284930","10.9.14.244","206.247.43.169","UDP","292","63406  >  8801 Len=250","",""
"38","0.289309","206.247.43.169","10.9.14.244","UDP","985","8801  >  63404 Len=943","",""
"39","0.289309","206.247.43.169","10.9.14.244","UDP","765","8801  >  63404 Len=723","",""
"40","0.289309","206.247.43.169","10.9.14.244","UDP","765","8801  >  63404 Len=723","",""
"41","0.304859","206.247.43.169","10.9.14.244","UDP","765","8801  >  63404 Len=723","",""
"42","0.304859","206.247.43.169","10.9.14.244","UDP","764","8801  >  63404 Len=722","",""
"43","0.304859","206.247.43.169","10.9.14.244","UDP","764","8801  >  63404 Len=722","",""
"44","0.306380","10.9.14.244","206.247.43.169","UDP","287","63406  >  8801 Len=245","",""
"45","0.311475","206.247.43.169","10.9.14.244","TLSv1.2","92","Application Data","","0x018"
"46","0.311475","206.247.43.169","10.9.14.244","TCP","56","443  >  63136 [ACK] Seq=1 Ack=39 Win=16 Len=0","","0x010"
"47","0.311528","10.9.14.244","206.247.43.169","TCP","54","63136  >  443 [ACK] Seq=39 Ack=39 Win=251 Len=0","","0x010"
"48","0.319998","10.9.14.244","206.247.43.169","UDP","282","63406  >  8801 Len=240","",""
"49","0.325144","206.247.43.169","10.9.14.244","TLSv1.2","103","Application Data","","0x018"
